municipio,ano,crimes_total,desigualdade,sus_value_x,sus_value_y,saude_score,educacao_score,rh_score,legislacao_score
ABADIANIA,2022,30.0,0.6257,1738420.0,,0.3581081081081081,0.2227979274611398,0.5,0.0212765957446808
ABADIANIA,2023,25.0,0.6106,,1413507.0,0.3581081081081081,0.2227979274611398,0.5,0.0212765957446808
AGUA FRIA DE GOIAS,2022,5.0,0.5989,91422.0,,0.2567567567567567,0.2435233160621761,0.5,0.0212765957446808
AGUA FRIA DE GOIAS,2023,10.0,0.6883,,90894.0,0.2567567567567567,0.2435233160621761,0.5,0.0212765957446808
AGUAS CLARAS,2022,31.0,,,,,,,
AGUAS CLARAS,2023,22.0,,,,,,,
AGUAS LINDAS DE GOIAS,2022,184.0,0.5097,2139501.0,,0.3108108108108108,0.3056994818652849,0.5,0.0425531914893617
AGUAS LINDAS DE GOIAS,2023,138.0,0.5487,,1860138.0,0.3108108108108108,0.3056994818652849,0.5,0.0425531914893617
ALEXANIA,2022,32.0,0.6163,189211.0,,0.3175675675675675,0.2020725388601036,0.5,0.0212765957446808
ALEXANIA,2023,35.0,0.6801,,154202.0,0.3175675675675675,0.2020725388601036,0.5,0.0212765957446808
ALTO PARAISO DE GOIAS,2022,12.0,0.628,258841.0,,0.2905405405405405,0.1865284974093264,0.5,0.0212765957446808
ALTO PARAISO DE GOIAS,2023,6.0,0.6685,,314482.0,0.2905405405405405,0.1865284974093264,0.5,0.0212765957446808
ALVORADA DO NORTE,2022,10.0,0.5738,86678.0,,0.2837837837837837,0.2279792746113989,0.5,0.0212765957446808
ALVORADA DO NORTE,2023,14.0,0.6386,,86209.0,0.2837837837837837,0.2279792746113989,0.5,0.0212765957446808
ARINOS,2022,25.0,0.6008,202970.0,,0.2837837837837837,0.2797927461139896,0.5,0.0
ARINOS,2023,10.0,0.6959,,297986.0,0.2837837837837837,0.2797927461139896,0.5,0.0
ARNIQUEIRA,2022,7.0,,,,,,,
ARNIQUEIRA,2023,9.0,,,,,,,
BARRO ALTO,2022,8.0,0.3639,93802.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.3639,93802.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2022,8.0,0.3639,102863.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.3639,102863.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2022,8.0,0.6556,93802.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.6556,93802.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2022,8.0,0.6556,102863.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.6556,102863.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.389,,132906.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.389,,132906.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.389,,144987.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.389,,144987.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.7014,,132906.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.7014,,132906.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.7014,,144987.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.7014,,144987.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BRASILIA/PLANO PILOTO,2022,84.0,,,,,,,
BRASILIA/PLANO PILOTO,2023,94.0,,,,,,,
BRAZLANDIA,2022,52.0,,,,,,,
BRAZLANDIA,2023,50.0,,,,,,,
BURITIS,2022,19.0,0.6354,693294.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.6354,693294.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2022,19.0,0.6354,676034.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.6354,676034.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2022,19.0,0.5589,693294.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.5589,693294.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2022,19.0,0.5589,676034.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.5589,676034.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.6125,,795933.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.6125,,795933.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.6125,,793573.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.6125,,793573.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.5954,,795933.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.5954,,795933.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.5954,,793573.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.5954,,793573.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
CABECEIRA GRANDE,2022,1.0,0.6408,14569.0,,0.2972972972972973,0.2642487046632124,0.5,0.0
CABECEIRA GRANDE,2023,2.0,0.5908,,34021.0,0.2972972972972973,0.2642487046632124,0.5,0.0
CABECEIRAS,2022,1.0,0.5851,256059.0,,0.2905405405405405,0.3056994818652849,0.5,0.0425531914893617
CABECEIRAS,2023,8.0,0.6474,,202403.0,0.2905405405405405,0.3056994818652849,0.5,0.0425531914893617
CANDANGOLANDIA,2022,6.0,,,,,,,
CANDANGOLANDIA,2023,7.0,,,,,,,
CAVALCANTE,2022,9.0,0.4488,163382.0,,0.3581081081081081,0.1865284974093264,0.5,0.0212765957446808
CAVALCANTE,2023,14.0,0.4297,,179466.0,0.3581081081081081,0.1865284974093264,0.5,0.0212765957446808
CEILANDIA,2022,184.0,,,,,,,
CEILANDIA,2023,181.0,,,,,,,
CIDADE OCIDENTAL,2022,66.0,0.557,1972411.0,,0.3445945945945945,0.3989637305699481,0.5,0.0212765957446808
CIDADE OCIDENTAL,2023,55.0,0.5933,,1901611.0,0.3445945945945945,0.3989637305699481,0.5,0.0212765957446808
COCALZINHO DE GOIAS,2022,19.0,0.5434,56070.0,,0.2837837837837837,0.1658031088082901,0.5,0.0212765957446808
COCALZINHO DE GOIAS,2023,22.0,0.583,,58355.0,0.2837837837837837,0.1658031088082901,0.5,0.0212765957446808
CORUMBA DE GOIAS,2022,21.0,0.6077,40403.0,,0.3648648648648648,0.2020725388601036,0.5,0.0212765957446808
CORUMBA DE GOIAS,2023,7.0,0.5656,,41951.0,0.3648648648648648,0.2020725388601036,0.5,0.0212765957446808
CRISTALINA,2022,101.0,0.7018,413728.0,,0.3851351351351351,0.3523316062176165,0.5,0.0425531914893617
CRISTALINA,2023,83.0,0.7436,,492125.0,0.3851351351351351,0.3523316062176165,0.5,0.0425531914893617
FERCAL,2022,15.0,,,,,,,
FERCAL,2023,8.0,,,,,,,
FLORES DE GOIAS,2022,13.0,0.4717,215278.0,,0.2567567567567567,0.3212435233160621,0.5,0.0212765957446808
FLORES DE GOIAS,2023,16.0,0.4943,,195859.0,0.2567567567567567,0.3212435233160621,0.5,0.0212765957446808
FORMOSA,2022,74.0,0.6751,1151101.0,,0.2702702702702703,0.3678756476683937,0.5,0.0425531914893617
FORMOSA,2023,78.0,0.6996,,875614.0,0.2702702702702703,0.3678756476683937,0.5,0.0425531914893617
GAMA,2022,75.0,,,,,,,
GAMA,2023,75.0,,,,,,,
GOIANESIA,2022,49.0,0.6915,1680445.0,,0.4054054054054054,0.3471502590673575,0.5,0.0425531914893617
GOIANESIA,2023,49.0,0.7486,,2054219.0,0.4054054054054054,0.3471502590673575,0.5,0.0425531914893617
ITAPOA,2022,45.0,,,,,,,
ITAPOA,2023,59.0,,,,,,,
JARDIM BOTANICO,2022,7.0,,,,,,,
JARDIM BOTANICO,2023,15.0,,,,,,,
LAGO NORTE,2022,11.0,,,,,,,
LAGO NORTE,2023,13.0,,,,,,,
LAGO SUL,2022,5.0,,,,,,,
LAGO SUL,2023,5.0,,,,,,,
LUZIANIA,2022,161.0,0.5829,1325145.0,,0.3378378378378378,0.3471502590673575,0.5,0.0425531914893617
LUZIANIA,2023,175.0,0.6172,,2258504.0,0.3378378378378378,0.3471502590673575,0.5,0.0425531914893617
MIMOSO DE GOIAS,2022,0.0,0.5565,9508.0,,0.2837837837837837,0.3056994818652849,0.5,0.0212765957446808
MIMOSO DE GOIAS,2023,5.0,0.602,,16379.0,0.2837837837837837,0.3056994818652849,0.5,0.0212765957446808
NIQUELANDIA,2022,33.0,0.5875,2708777.0,,0.3918918918918919,0.3575129533678756,0.5,0.0425531914893617
NIQUELANDIA,2023,44.0,0.6274,,2801600.0,0.3918918918918919,0.3575129533678756,0.5,0.0425531914893617
NOVO GAMA,2022,90.0,0.4977,913205.0,,0.3783783783783784,0.3367875647668393,0.5,0.0212765957446808
NOVO GAMA,2023,72.0,0.5258,,957260.0,0.3783783783783784,0.3367875647668393,0.5,0.0212765957446808
NUCLEO BANDEIRANTE,2022,13.0,,,,,,,
NUCLEO BANDEIRANTE,2023,7.0,,,,,,,
PADRE BERNARDO,2022,46.0,0.483,367918.0,,0.3445945945945945,0.3367875647668393,0.5,0.0212765957446808
PADRE BERNARDO,2023,51.0,0.4986,,544865.0,0.3445945945945945,0.3367875647668393,0.5,0.0212765957446808
PARANOA,2022,40.0,,,,,,,
PARANOA,2023,58.0,,,,,,,
PARK WAY,2022,9.0,,,,,,,
PARK WAY,2023,17.0,,,,,,,
PIRENOPOLIS,2022,28.0,0.5969,217671.0,,0.3243243243243243,0.3212435233160621,0.5,0.0212765957446808
PIRENOPOLIS,2023,29.0,0.665,,261619.0,0.3243243243243243,0.3212435233160621,0.5,0.0212765957446808
PLANALTINA,2022,132.0,0.517,1101763.0,,0.3445945945945945,0.3471502590673575,0.5,0.0212765957446808
PLANALTINA,2023,106.0,0.5554,,811469.0,0.3445945945945945,0.3471502590673575,0.5,0.0212765957446808
RECANTO DAS EMAS,2022,88.0,,,,,,,
RECANTO DAS EMAS,2023,80.0,,,,,,,
RIACHO FUNDO,2022,18.0,,,,,,,
RIACHO FUNDO,2023,21.0,,,,,,,
RIACHO FUNDO II,2022,15.0,,,,,,,
RIACHO FUNDO II,2023,26.0,,,,,,,
SAMAMBAIA,2022,131.0,,,,,,,
SAMAMBAIA,2023,126.0,,,,,,,
SANTO ANTONIO DO DESCOBERTO,2022,51.0,0.4687,376051.0,,0.3513513513513513,0.310880829015544,0.5,0.0212765957446808
SANTO ANTONIO DO DESCOBERTO,2023,44.0,0.4784,,439110.0,0.3513513513513513,0.310880829015544,0.5,0.0212765957446808
SAO JOAO D'ALIANCA,2022,14.0,0.5877,255132.0,,,,,
SAO JOAO D'ALIANCA,2023,7.0,0.6182,,314534.0,,,,
SCIA,2022,49.0,,,,,,,
SCIA,2023,48.0,,,,,,,
SIA,2022,11.0,,,,,,,
SIA,2023,9.0,,,,,,,
SIMOLANDIA,2022,19.0,0.4969,22427.0,,0.2702702702702703,0.2072538860103626,0.5,0.0212765957446808
SIMOLANDIA,2023,15.0,0.5431,,21829.0,0.2702702702702703,0.2072538860103626,0.5,0.0212765957446808
SOBRADINHO II,2022,37.0,,,,,,,
SOBRADINHO II,2023,34.0,,,,,,,
SOL NASCENTE/POR DO SOL,2022,59.0,,,,,,,
SOL NASCENTE/POR DO SOL,2023,64.0,,,,,,,
SUDOESTE/OCTOGONAL,2022,9.0,,,,,,,
SUDOESTE/OCTOGONAL,2023,5.0,,,,,,,
UNAI,2022,71.0,0.7076,1723728.0,,0.3108108108108108,0.3316062176165803,0.5,0.0212765957446808
UNAI,2023,61.0,0.736,,2073062.0,0.3108108108108108,0.3316062176165803,0.5,0.0212765957446808
VALPARAISO DE GOIAS,2022,5.0,0.5998,1814904.0,,0.3513513513513513,0.3989637305699481,0.5,0.0425531914893617
VALPARAISO DE GOIAS,2023,8.0,0.6119,,2163522.0,0.3513513513513513,0.3989637305699481,0.5,0.0425531914893617
VICENTE PIRES,2022,33.0,,,,,,,
VICENTE PIRES,2023,42.0,,,,,,,
VILA BOA,2022,6.0,0.6163,141150.0,,0.3310810810810811,0.310880829015544,0.5,0.0212765957446808
VILA BOA,2023,5.0,0.71,,149126.0,0.3310810810810811,0.310880829015544,0.5,0.0212765957446808
VILA PROPICIO,2022,7.0,0.6435,110352.0,,0.1959459459459459,0.2487046632124352,0.5,0.0
VILA PROPICIO,2023,3.0,0.6918,,166953.0,0.1959459459459459,0.2487046632124352,0.5,0.0
